hour,temp,holiday,weather_main,traffic_volume
22,15,1,Clear,52
17,23,0,Rain,23
22,17,0,Snow,75
1,24,1,Snow,20
22,28,0,Clouds,80
13,28,1,Clouds,57
4,21,1,Clear,46
23,15,0,Snow,92
12,27,1,Snow,63
1,20,1,Rain,43
16,16,1,Clear,41
2,18,1,Clear,66
7,20,1,Rain,93
6,18,0,Rain,28
18,29,1,Clear,65
22,17,1,Rain,10
11,23,0,Rain,61
16,30,0,Rain,28
2,22,0,Snow,24
13,35,1,Clouds,37
22,29,1,Clouds,26
19,25,1,Clouds,36
11,29,0,Clouds,81
10,20,0,Clouds,82
13,29,0,Snow,19
17,24,1,Clear,74
12,32,1,Clouds,52
13,19,0,Rain,17
9,34,1,Clear,75
19,24,0,Clouds,10
5,15,1,Clear,30
18,19,0,Clouds,72
6,34,0,Clouds,36
9,33,0,Snow,40
19,19,0,Clouds,59
5,31,1,Rain,68
18,24,1,Clouds,95
8,22,1,Rain,18
5,23,1,Snow,33
21,33,0,Clear,17
0,17,1,Clear,36
15,29,0,Clear,11
23,33,1,Clouds,91
21,33,1,Clear,19
1,35,1,Clouds,58
11,15,0,Rain,40
21,17,0,Clear,91
12,31,0,Snow,78
0,26,0,Clear,99
14,19,1,Clouds,57
2,33,1,Snow,38
3,24,0,Clouds,75
20,28,1,Clear,12
22,35,0,Clouds,86
14,32,0,Clouds,10
5,28,0,Rain,17
5,19,0,Snow,55
8,26,1,Rain,65
14,24,0,Clouds,93
3,30,0,Clear,46
15,22,1,Rain,52
23,26,1,Snow,28
22,33,1,Clear,37
22,27,0,Clouds,23
19,24,0,Rain,11
14,34,1,Rain,98
20,26,0,Clear,57
0,15,0,Clouds,75
15,35,0,Rain,54
4,27,0,Clear,63
18,15,1,Snow,88
3,29,0,Snow,55
12,30,0,Clear,23
6,15,0,Snow,91
18,24,0,Snow,89
12,22,0,Clouds,97
7,19,0,Clouds,85
9,17,0,Snow,16
23,15,1,Rain,16
7,30,1,Clear,54
6,24,0,Snow,16
10,34,0,Snow,53
16,21,0,Snow,26
8,21,1,Snow,23
15,31,1,Clouds,56
2,32,1,Clouds,29
8,35,0,Rain,32
4,16,0,Clouds,85
13,15,1,Rain,27
6,23,1,Snow,93
5,16,1,Clear,17
8,24,1,Clouds,14
12,30,1,Snow,91
0,22,0,Clouds,74
7,19,0,Snow,28
11,21,1,Snow,95
6,33,0,Clear,89
8,17,1,Clouds,64
2,19,1,Clear,15
6,15,0,Rain,47
11,35,0,Snow,50
8,35,1,Rain,77
4,17,0,Clear,39
19,35,0,Rain,26
0,35,0,Snow,54
15,18,1,Snow,18
11,32,1,Rain,98
0,24,0,Snow,70
2,19,1,Rain,33
23,35,0,Clear,51
13,24,1,Clear,92
20,16,1,Clear,87
0,29,0,Snow,84
20,23,0,Snow,43
16,28,0,Clouds,46
15,24,0,Clear,48
15,24,1,Clouds,45
14,32,0,Clear,59
23,35,0,Rain,74
2,18,0,Rain,65
5,27,1,Clear,60
10,25,0,Snow,21
7,16,0,Snow,23
0,27,0,Clear,47
4,28,1,Clear,15
21,16,1,Snow,33
19,20,1,Snow,66
21,26,0,Clear,67
11,24,1,Clear,84
2,20,1,Rain,88
4,16,0,Clear,97
3,29,0,Clouds,96
13,26,0,Snow,60
6,32,1,Snow,68
13,15,0,Rain,76
8,26,0,Rain,60
4,19,1,Snow,38
3,17,0,Snow,39
22,28,1,Clear,98
3,23,1,Clear,64
13,18,0,Clouds,61
17,20,1,Snow,94
15,33,1,Clouds,71
7,19,1,Clouds,44
4,30,0,Clouds,41
13,20,1,Snow,15
19,21,1,Snow,95
3,23,0,Snow,82
1,17,0,Snow,60
12,34,0,Rain,84
12,25,1,Snow,90
6,29,1,Clear,19
5,24,1,Snow,13
6,20,0,Clouds,26
9,22,0,Snow,67
12,34,1,Rain,28
1,31,0,Clear,38
21,18,1,Snow,13
11,20,0,Clouds,75
17,33,1,Clear,85
20,26,1,Clouds,63
10,21,1,Rain,42
4,28,1,Rain,25
21,34,0,Rain,84
3,25,0,Clear,11
13,27,1,Snow,56
4,16,1,Rain,13
8,35,0,Clouds,49
19,18,0,Rain,49
5,21,1,Clouds,44
16,33,0,Clouds,76
9,24,0,Clear,58
15,22,0,Clear,44
21,35,1,Snow,24
20,22,0,Clouds,81
19,25,1,Clear,64
15,28,0,Rain,73
19,26,0,Snow,56
17,18,0,Clouds,88
11,33,1,Snow,91
7,31,1,Clouds,60
11,21,0,Rain,17
7,27,1,Clouds,83
1,25,0,Snow,12
12,15,1,Clouds,54
3,26,0,Clouds,64
15,30,1,Rain,57
4,26,0,Clear,43
18,29,0,Clouds,12
20,26,0,Clouds,43
12,20,0,Clear,81
5,21,1,Rain,92
21,18,0,Clouds,86
12,16,1,Clouds,16
11,15,1,Clouds,43
1,24,1,Clear,57
12,23,1,Snow,65
5,19,0,Clouds,18
4,27,1,Snow,96
14,33,0,Clear,84
1,16,1,Clouds,99
15,29,1,Clouds,75
2,30,0,Snow,58
21,17,0,Snow,49
3,25,0,Clear,99
8,30,0,Clear,16
1,22,1,Snow,88
18,15,1,Clouds,90
16,16,0,Snow,29
19,30,1,Snow,20
14,17,0,Rain,93
9,31,1,Snow,85
13,29,1,Rain,41
4,22,1,Clouds,65
5,32,1,Rain,48
18,15,1,Clear,99
10,30,1,Clear,71
0,17,0,Rain,73
12,27,1,Clouds,63
0,27,0,Rain,85
2,30,1,Snow,86
5,20,1,Rain,65
23,32,0,Snow,17
15,35,0,Snow,56
10,16,1,Clear,78
3,28,1,Clouds,24
17,29,1,Snow,61
11,34,1,Rain,32
0,24,0,Rain,86
5,18,1,Clear,93
11,32,1,Rain,16
0,22,0,Rain,21
6,23,0,Snow,84
22,31,0,Rain,21
16,15,0,Rain,14
1,18,1,Snow,90
3,31,1,Clouds,13
22,23,1,Clear,73
11,20,1,Rain,69
7,35,0,Rain,92
21,35,0,Snow,47
0,24,1,Snow,34
1,23,1,Rain,76
2,26,0,Clouds,70
11,35,0,Clear,88
18,35,0,Rain,94
5,15,1,Snow,87
13,28,1,Snow,95
3,17,1,Rain,49
20,31,0,Rain,18
8,19,0,Clouds,82
9,19,1,Rain,68
6,16,1,Snow,63
14,17,0,Rain,75
7,21,0,Clear,53
3,27,1,Snow,58
3,30,0,Clouds,98
9,21,1,Snow,34
10,15,0,Rain,61
7,35,1,Rain,19
11,23,1,Clear,93
15,15,1,Clear,42
21,24,0,Clouds,21
14,17,1,Snow,50
3,20,0,Clouds,48
13,35,0,Snow,81
21,15,0,Clear,23
18,24,1,Snow,34
3,29,1,Rain,68
9,22,0,Rain,98
21,32,0,Snow,70
17,21,1,Rain,45
5,27,1,Clouds,72
19,25,1,Clear,16
16,17,1,Clouds,49
0,34,1,Clear,100
14,16,0,Clear,63
19,18,1,Snow,27
11,28,0,Snow,45
9,31,1,Rain,73
21,31,1,Rain,33
22,31,0,Snow,18
10,34,0,Clear,12
15,20,1,Snow,34
14,34,0,Clear,25
6,34,1,Clouds,96
0,19,1,Rain,61
22,18,1,Rain,37
9,26,1,Snow,24
17,26,1,Clouds,88
8,25,1,Clouds,67
18,24,0,Rain,47
18,26,1,Snow,40
6,26,0,Clouds,26
18,25,1,Rain,84
18,31,1,Snow,53
3,21,1,Clouds,86
2,15,1,Clear,70
3,33,1,Clear,13
9,32,1,Clouds,12
21,34,1,Clear,41
13,30,0,Clear,31
6,17,1,Rain,80
21,33,1,Snow,58
5,27,1,Clouds,34
21,28,1,Clouds,20
8,23,1,Clouds,41
1,33,1,Rain,58
22,35,1,Clear,23
9,35,0,Snow,98
17,26,1,Clouds,24
3,32,1,Clouds,14
6,34,0,Clear,18
15,32,1,Rain,62
17,30,1,Rain,21
20,28,0,Rain,56
14,32,1,Clouds,19
18,17,1,Clouds,49
6,27,0,Snow,57
15,33,0,Snow,24
14,24,1,Clear,34
6,31,1,Rain,23
20,23,0,Clouds,56
1,34,1,Clear,17
3,35,1,Snow,65
9,22,1,Clouds,70
23,21,1,Clouds,61
15,35,0,Snow,19
15,34,0,Clouds,41
4,23,1,Clear,27
17,26,0,Snow,40
19,24,1,Clear,46
11,28,1,Snow,73
5,35,0,Snow,80
20,25,0,Rain,83
10,25,0,Clouds,28
22,17,0,Clouds,97
5,31,1,Snow,18
15,32,0,Clear,41
4,24,0,Rain,75
2,26,0,Clear,32
16,21,1,Rain,46
13,28,0,Rain,32
3,16,1,Clouds,47
19,35,1,Clouds,31
3,35,0,Rain,44
18,33,1,Rain,65
18,35,1,Clouds,65
3,20,0,Rain,81
23,27,0,Rain,80
14,28,0,Rain,34
7,32,1,Clear,92
21,17,0,Clouds,92
13,16,0,Rain,67
17,25,0,Clouds,48
23,24,1,Rain,92
9,35,0,Clouds,87
16,32,0,Clouds,43
1,22,0,Clear,52
0,31,1,Snow,64
9,32,0,Clouds,10
2,33,0,Rain,10
9,35,0,Snow,40
7,21,1,Clear,83
4,25,1,Snow,27
19,28,1,Snow,52
17,16,1,Clear,13
0,23,1,Clouds,64
3,15,0,Clouds,89
3,32,1,Snow,18
7,24,1,Clear,69
5,34,0,Snow,93
1,17,1,Rain,97
15,19,1,Snow,94
21,25,0,Clear,91
3,23,0,Clouds,63
1,35,0,Snow,67
21,35,1,Clouds,56
17,22,0,Rain,11
11,18,1,Clear,94
4,35,1,Clear,94
3,31,0,Clear,79
3,19,1,Clouds,48
22,25,0,Rain,98
22,21,1,Rain,10
22,34,0,Snow,75
9,32,1,Rain,60
1,26,1,Clouds,93
7,24,0,Rain,49
15,32,1,Clear,82
20,27,1,Clouds,72
0,19,1,Clear,54
10,28,1,Snow,59
12,35,0,Snow,84
7,16,1,Clouds,28
3,24,0,Clouds,33
22,27,0,Clouds,80
18,29,0,Snow,63
23,30,1,Rain,35
9,34,0,Clouds,40
0,26,0,Rain,84
18,23,1,Snow,19
6,22,1,Snow,79
2,30,0,Rain,57
20,33,1,Rain,48
1,29,0,Clear,54
8,30,0,Clear,30
16,28,0,Clouds,56
9,23,0,Clear,28
18,27,1,Rain,23
5,31,0,Snow,83
12,19,0,Snow,67
5,21,1,Snow,78
14,34,0,Rain,83
9,18,1,Rain,31
15,21,0,Rain,32
7,16,0,Rain,46
5,19,1,Clear,28
5,29,1,Rain,57
6,28,1,Clear,39
13,27,0,Clouds,53
11,31,0,Snow,82
6,26,1,Snow,54
9,28,0,Clear,86
18,28,1,Clouds,44
18,27,0,Clouds,56
4,16,1,Clear,41
18,26,1,Clear,86
10,17,1,Clear,77
4,16,0,Snow,55
19,27,1,Rain,80
14,34,1,Rain,33
11,34,1,Snow,65
11,23,0,Snow,59
17,21,1,Snow,68
0,23,0,Clear,69
10,32,0,Clear,94
7,22,0,Clouds,98
15,29,0,Clouds,54
2,21,0,Clouds,87
14,27,0,Rain,61
0,31,0,Clear,94
15,18,1,Clear,77
0,28,1,Rain,79
12,16,0,Rain,79
16,32,0,Clear,35
16,34,1,Rain,78
13,30,1,Snow,59
17,30,0,Clouds,99
15,32,0,Clear,29
7,19,1,Rain,38
6,19,0,Clear,24
8,18,1,Rain,99
20,23,1,Clouds,52
5,27,1,Clouds,88
0,30,1,Clouds,56
18,19,1,Rain,99
20,15,0,Rain,79
21,25,0,Rain,95
4,17,0,Clear,14
18,31,1,Snow,94
1,35,1,Clouds,24
20,24,0,Snow,79
13,33,0,Rain,17
8,15,1,Clear,28
1,20,0,Snow,25
6,33,0,Clear,87
21,32,0,Rain,28
23,26,1,Clear,45
0,15,0,Snow,99
4,29,1,Clouds,95
18,30,0,Rain,79
17,34,0,Snow,100
13,25,1,Clouds,84
7,33,0,Rain,24
21,24,0,Clear,39
9,32,0,Snow,15
7,34,0,Snow,15
20,31,1,Clouds,76
21,33,1,Clear,17
9,16,1,Rain,94
18,26,1,Rain,39
16,31,0,Snow,29
8,18,0,Snow,85
10,18,0,Rain,97
15,28,0,Rain,16
13,16,1,Snow,57
6,17,1,Rain,58
16,16,1,Rain,21
4,19,1,Rain,68
19,19,0,Rain,90
1,25,0,Rain,65
1,35,0,Clear,65
8,27,0,Clear,80
11,26,0,Clouds,51
19,31,1,Clouds,21
7,31,0,Clear,34
18,23,0,Snow,44
11,23,0,Clear,67
22,28,0,Snow,26
13,16,0,Snow,64
15,34,0,Clouds,100
13,26,0,Clouds,30
10,20,1,Snow,66
21,25,0,Clouds,56
23,15,0,Rain,79
11,28,0,Clouds,10
8,22,0,Clear,17
7,17,1,Clear,97
5,34,1,Clouds,46
14,26,1,Clear,86
0,21,1,Snow,65
23,29,0,Snow,92
19,21,0,Clouds,41
6,18,0,Clouds,19
9,21,1,Clouds,39
18,24,1,Clouds,31
22,32,0,Clouds,21
0,33,1,Clear,76
19,17,0,Clear,16
16,33,0,Clouds,52
15,19,1,Rain,12
12,19,0,Snow,15
9,31,0,Rain,33
6,16,0,Rain,59
10,29,1,Clouds,26
10,15,1,Snow,66
20,33,0,Clouds,90
0,30,1,Snow,27
22,29,1,Clear,55
12,27,0,Rain,30
14,17,1,Snow,59
6,25,1,Rain,51
17,23,1,Clear,46
17,15,0,Rain,32
6,24,0,Clouds,62
14,29,1,Snow,71
5,15,1,Clear,96
9,26,1,Snow,58
23,33,0,Clear,54
6,29,0,Rain,49
3,28,1,Clear,35
10,33,1,Snow,29
9,23,1,Rain,84
10,25,1,Clear,55
15,33,0,Rain,45
14,35,1,Clear,27
17,19,1,Snow,79
22,17,1,Rain,68
6,31,0,Clouds,24
5,35,0,Clear,78
2,15,1,Clear,95
21,25,1,Snow,28
8,29,0,Clear,58
18,31,1,Snow,10
10,34,0,Clouds,71
7,20,1,Clear,60
13,18,0,Clear,90
10,32,1,Clouds,24
11,19,0,Clear,99
22,17,0,Snow,79
21,18,1,Clouds,99
15,19,1,Rain,22
13,27,1,Rain,100
23,22,0,Clouds,94
10,19,0,Clear,59
9,21,1,Clear,96
10,33,1,Snow,41
10,17,1,Clear,81
6,34,0,Clouds,30
23,19,0,Clear,88
11,20,1,Rain,31
11,25,0,Clear,16
18,25,0,Clouds,53
22,27,0,Rain,14
10,17,1,Clear,72
6,31,0,Clear,76
16,28,0,Clear,27
18,29,1,Clouds,71
2,30,0,Snow,84
0,32,1,Snow,48
16,15,1,Clear,27
1,19,0,Clouds,22
23,30,0,Clear,52
2,31,1,Clear,45
20,28,1,Snow,17
12,15,1,Rain,52
20,18,1,Rain,52
11,28,1,Snow,43
21,33,0,Clouds,90
19,30,1,Rain,14
17,35,0,Snow,88
0,17,1,Snow,92
3,16,1,Clear,54
22,33,0,Rain,88
3,15,1,Clear,32
8,15,0,Clouds,56
23,24,0,Rain,100
19,21,1,Clear,78
12,18,1,Clear,69
18,34,1,Clear,21
11,28,0,Rain,23
14,23,1,Clear,53
4,31,0,Clouds,19
10,27,0,Rain,33
5,20,1,Rain,41
0,34,1,Snow,63
0,32,0,Clouds,48
2,29,0,Snow,48
0,17,0,Clouds,90
2,15,0,Rain,18
23,24,1,Clear,81
22,22,1,Clear,99
12,19,0,Clouds,83
17,21,0,Clear,45
8,30,0,Clear,25
8,23,0,Clear,58
20,35,1,Rain,54
23,25,0,Snow,96
21,25,1,Snow,35
22,28,0,Rain,33
14,29,0,Rain,43
21,27,1,Clear,17
13,34,0,Clouds,81
13,18,0,Clear,96
14,34,0,Rain,41
22,33,0,Clouds,14
10,19,0,Clouds,87
23,20,0,Rain,10
22,29,1,Clear,25
21,34,1,Rain,95
3,24,0,Snow,78
19,35,0,Rain,62
16,27,0,Clouds,26
7,30,0,Clear,13
13,27,0,Snow,52
8,35,0,Clouds,64
7,26,0,Clouds,27
18,24,1,Rain,45
8,32,1,Snow,89
4,16,0,Snow,12
19,27,0,Clouds,77
0,16,1,Snow,81
15,29,0,Clear,67
2,30,1,Clouds,44
11,15,0,Clouds,90
13,23,1,Rain,17
23,29,1,Snow,37
2,30,0,Rain,45
9,17,0,Clouds,44
18,15,0,Rain,93
6,25,1,Clouds,48
14,27,1,Rain,36
16,25,1,Snow,29
15,24,1,Clouds,37
21,29,0,Clouds,100
17,35,1,Clouds,33
17,26,1,Snow,55
2,17,0,Rain,57
1,35,0,Clouds,29
4,30,0,Clear,93
19,32,1,Clouds,58
11,20,1,Snow,20
1,35,0,Clouds,89
8,21,1,Clouds,10
9,15,0,Clouds,52
2,18,0,Clouds,84
13,28,1,Snow,27
0,27,1,Rain,10
6,31,0,Clear,45
12,22,1,Snow,57
16,31,0,Snow,15
13,21,1,Clear,71
20,23,1,Snow,19
7,19,0,Rain,29
0,27,1,Rain,69
7,17,1,Clear,16
17,21,0,Clear,49
8,23,1,Clouds,64
20,28,0,Rain,63
1,20,1,Snow,87
20,28,0,Snow,27
12,25,0,Snow,77
5,16,0,Rain,96
19,15,1,Snow,85
13,17,1,Rain,51
14,15,1,Rain,89
17,16,0,Clear,38
3,18,1,Snow,62
5,18,0,Clouds,64
17,15,1,Snow,66
4,17,1,Clear,59
21,35,1,Rain,51
20,16,1,Clouds,22
10,20,0,Clouds,26
11,27,0,Clouds,57
19,15,0,Snow,25
22,17,0,Clear,36
2,30,0,Clouds,16
7,31,1,Clear,90
5,28,0,Clear,53
15,35,1,Clear,47
9,15,0,Clear,15
14,15,1,Clouds,74
2,20,1,Clouds,82
10,19,1,Snow,61
7,17,0,Clouds,97
6,35,1,Clouds,10
22,30,1,Clouds,53
14,17,0,Clear,51
3,17,1,Snow,95
17,22,0,Clear,51
18,24,1,Clouds,10
7,31,1,Rain,55
7,24,0,Snow,53
5,21,1,Rain,90
1,35,1,Snow,65
3,35,0,Clear,97
1,17,1,Clouds,79
20,29,0,Clear,64
14,26,1,Snow,20
12,29,1,Clear,59
20,17,0,Rain,66
1,29,1,Snow,63
22,28,1,Snow,76
17,26,1,Rain,89
17,32,1,Snow,59
14,25,1,Rain,14
14,16,0,Clouds,16
6,24,0,Rain,92
22,27,1,Clouds,84
6,23,1,Clear,68
20,26,0,Snow,82
10,17,0,Rain,38
18,23,0,Clear,31
2,16,1,Clear,73
6,35,0,Snow,21
15,17,1,Clear,53
16,31,0,Clear,14
0,20,1,Clear,68
3,20,0,Clouds,17
14,28,0,Clear,22
10,21,0,Snow,77
8,21,0,Clear,100
19,29,1,Clouds,11
22,30,1,Clouds,69
18,26,0,Snow,97
6,22,0,Clouds,75
19,32,0,Snow,83
17,30,0,Clear,65
18,30,0,Snow,46
17,21,0,Clear,89
7,15,1,Clouds,91
18,21,0,Rain,58
8,17,0,Clear,65
15,30,1,Clear,85
1,32,1,Clouds,72
18,17,0,Rain,58
1,34,0,Clear,46
23,26,0,Rain,28
10,23,0,Clouds,76
23,23,0,Snow,32
8,20,1,Clear,53
9,16,1,Rain,47
6,34,0,Clouds,26
19,19,0,Rain,78
5,30,0,Clear,73
12,31,1,Clear,57
3,22,0,Clear,77
11,28,1,Clear,66
6,19,1,Snow,52
17,28,0,Clear,11
5,18,1,Snow,20
3,15,0,Snow,92
23,20,1,Clear,32
22,23,1,Snow,69
7,29,0,Clear,53
10,28,0,Clouds,36
12,29,1,Clouds,36
23,34,0,Clouds,60
19,20,1,Clear,58
17,33,0,Clouds,78
8,29,1,Clear,94
5,19,0,Clear,17
11,19,0,Rain,56
8,28,0,Clear,60
13,18,1,Clear,49
10,31,0,Clear,20
4,19,1,Snow,65
21,34,1,Clouds,49
5,33,0,Rain,86
17,28,0,Rain,89
3,21,0,Snow,78
13,15,0,Rain,13
4,27,1,Clear,40
1,15,1,Clouds,97
5,32,0,Clouds,67
13,25,0,Rain,19
9,21,1,Snow,54
8,21,0,Clouds,87
17,21,0,Clouds,14
13,28,1,Clouds,17
8,20,1,Rain,84
0,32,0,Clouds,46
0,23,0,Snow,16
23,27,1,Clouds,90
1,19,1,Rain,79
14,27,0,Clouds,96
22,27,1,Clear,42
12,32,0,Rain,54
7,29,0,Rain,73
3,24,1,Clouds,50
19,35,0,Clouds,71
2,20,1,Snow,66
0,26,0,Snow,13
6,25,0,Rain,23
14,22,1,Clouds,40
0,20,1,Rain,60
16,16,0,Clouds,95
22,21,1,Snow,87
14,15,1,Rain,27
10,32,0,Clear,72
13,23,1,Rain,13
1,21,0,Snow,45
4,16,1,Clouds,25
8,28,0,Snow,61
3,29,1,Clear,41
0,34,1,Clear,45
16,16,1,Clear,79
9,34,0,Rain,77
0,19,1,Clear,29
0,19,0,Snow,54
14,15,1,Clouds,94
20,19,1,Snow,19
12,22,1,Clouds,10
6,20,0,Rain,13
10,25,0,Clouds,19
3,28,1,Rain,73
15,28,0,Clear,31
6,18,0,Rain,36
14,32,0,Snow,89
17,30,0,Snow,100
9,17,0,Snow,31
19,22,1,Rain,23
3,19,1,Clear,79
4,17,1,Clear,10
9,21,0,Snow,84
15,27,1,Snow,90
23,33,0,Snow,24
22,31,0,Snow,88
3,19,1,Snow,66
18,16,0,Clear,97
5,27,0,Rain,51
6,31,0,Clear,52
17,25,0,Clear,89
0,22,0,Snow,66
20,24,0,Clouds,11
16,19,0,Clear,98
22,24,0,Snow,82
22,16,1,Snow,85
16,34,1,Clouds,56
16,34,0,Snow,71
23,29,0,Rain,52
8,16,1,Clouds,72
17,34,0,Clouds,96
13,29,1,Clouds,15
19,30,1,Clear,38
10,27,0,Clouds,26
6,24,1,Clouds,24
13,33,0,Clouds,66
22,29,0,Snow,80
23,18,0,Rain,68
6,18,1,Clouds,12
0,18,0,Rain,49
15,28,0,Rain,40
13,17,0,Snow,40
12,32,1,Clouds,86
21,35,0,Snow,64
23,30,0,Snow,80
2,27,0,Clear,61
17,33,0,Clouds,61
18,22,1,Clouds,62
0,19,1,Clear,21
4,25,0,Rain,35
5,18,0,Rain,78
16,18,1,Clear,11
19,28,0,Clear,54
14,27,1,Snow,39
0,18,0,Clouds,74
19,20,0,Snow,73
16,35,1,Clear,30
21,17,0,Clouds,47
19,18,1,Rain,40
12,20,0,Rain,22
8,15,1,Clear,22
1,17,1,Rain,55
3,25,0,Snow,57
0,29,1,Clear,47
17,33,1,Clouds,91
0,35,1,Clear,72
1,31,0,Snow,54
5,21,0,Snow,47
15,21,0,Clouds,69
19,21,1,Rain,42
6,30,0,Clear,45
3,31,0,Snow,20
23,24,1,Clouds,96
11,27,1,Snow,100
8,29,1,Clear,29
4,23,0,Clear,77
19,22,0,Clear,29
18,25,1,Snow,83
8,16,1,Clear,33
17,19,1,Snow,45
6,22,1,Clouds,84
20,15,1,Snow,60
8,25,0,Clear,98
17,17,1,Snow,100
5,30,1,Clear,43
1,28,1,Rain,55
0,19,1,Clear,59
19,25,1,Clouds,63
21,29,0,Clouds,58
19,28,1,Clear,47
16,17,1,Clear,10
3,22,1,Rain,72
9,24,1,Rain,17
9,22,1,Rain,85
0,33,1,Rain,56
22,21,1,Rain,41
14,28,0,Snow,55
4,17,1,Rain,38
15,19,1,Snow,56
8,19,0,Clouds,45
23,29,1,Rain,32
14,33,0,Clear,71
8,22,0,Clouds,10
16,21,1,Clouds,69
10,16,0,Snow,81
11,25,1,Clouds,85
16,33,0,Clouds,66
1,26,0,Clear,100
1,24,1,Clear,71
16,26,1,Rain,73
3,29,1,Rain,26
0,24,1,Clear,37
21,26,0,Clear,52
7,20,1,Clouds,42
1,29,1,Clouds,42
0,15,1,Clouds,47
20,28,1,Rain,24
15,25,0,Clear,87
22,20,1,Rain,65
12,23,0,Rain,29
19,23,1,Clouds,86
16,24,0,Clear,79
2,34,0,Snow,56
7,33,0,Clouds,23
16,29,1,Clear,44
23,26,0,Clear,77
17,20,0,Snow,62
18,23,0,Rain,45
23,22,0,Snow,88
1,16,1,Clouds,73
16,32,1,Rain,49
8,33,0,Clear,13
14,18,0,Clouds,80
18,23,1,Snow,97
22,32,0,Clouds,87
14,21,1,Snow,55
1,28,0,Snow,13
9,26,1,Clear,82
22,15,0,Clouds,14
15,21,1,Snow,27
2,19,1,Clear,58
3,26,1,Rain,59
21,33,0,Snow,43
14,27,0,Snow,18
23,22,1,Snow,21
23,26,0,Snow,82
5,34,0,Snow,90
15,23,0,Snow,12
0,18,0,Snow,23
4,33,0,Clouds,50
21,34,1,Clear,76
0,23,1,Clouds,57
22,23,1,Snow,17
5,15,0,Clouds,40
18,16,1,Clear,62
20,20,0,Clear,36
15,19,0,Clouds,21
13,30,0,Snow,30
17,23,1,Snow,22
9,32,1,Rain,84
15,17,0,Clouds,88
22,24,0,Snow,36
23,32,0,Clouds,18
18,22,0,Rain,20
5,18,0,Clear,17
18,22,1,Snow,75
6,34,0,Snow,84
21,18,0,Clouds,88
18,21,0,Rain,94
18,32,0,Clouds,99
18,20,0,Clouds,84
9,35,1,Clouds,10
8,15,1,Snow,71
10,25,0,Clear,16
12,19,1,Snow,36
7,17,0,Rain,91
12,28,0,Clouds,47
23,27,1,Rain,52
3,27,1,Clouds,39
19,21,0,Rain,19
